Adaptation ID,Open Comments,Adaptation Process Status,Compliance Status,Kosher Status,Graphics Status,Kosher Progress,Kosher Status.s,Staus for Compliance,Lookup Kosher Status,Proposal,Supplier,Buyer,Compliance,Kosher,Kosher Expirey Message,Request,Graphics,Buyer contacts for Adaptation,Supplier contact.s for Adaptation,Contractors contact.s for Adaptation,Compliance docs.,Graphic docs.,Kosher Docs.,Auto Number,Compliance Completion,dev | approved compliance records,dev | Approved Graphics Records,First Created,Graphics Completion,"ID",ID (lookup from Proposal),Kosher Progress %,Last Updated,Link to Project status,Link to Requests,Versioning
"Pasta - gluten-free 400 gr, Shufersal- Pastificio Mennucci S.P.A, Italy, 19 Feb, 2025",0,New,Not Started,New,Not Started,0.1,,,,"Pasta - gluten-free 400 gr, Shufersal- Pastificio Mennucci S.P.A, Italy",,,,Kosher:, ⚠️ KOSHER EXPIRED  days ago,"Pasta - gluten-free 400 gr, Shufersal",,,,,,,,#224,0/0 approved ⏳,0,0,"By SmartSuite Automation on 19 Feb, 2025",0/0 approved ⏳,002228,002228,,"By SmartSuite Automation on 19 Feb, 2025",,,
"EXTRA VIRGIN OLIVE OIL 750 & 500 ML, Shufersal- Poyraz, Turkey, 19 Feb, 2025",0,New,Not Started,New,Not Started,0.1,,,,"EXTRA VIRGIN OLIVE OIL 750 & 500 ML, Shufersal- Poyraz, Turkey",,,,Kosher:, ⚠️ KOSHER EXPIRED  days ago,"EXTRA VIRGIN OLIVE OIL 750 & 500 ML, Shufersal",,,,,,,,#225,0/0 approved ⏳,0,0,"By SmartSuite Automation on 19 Feb, 2025",0/0 approved ⏳,002259,002259,,"By SmartSuite Automation on 19 Feb, 2025",,,
"Vegetable chips 85gr, Shufersal- Viube/Grupo Apex/ Mikso, Spain, 19 Feb, 2025",0,New,Not Started,New,Not Started,0.1,,,,"Vegetable chips 85gr, Shufersal- Viube/Grupo Apex/ Mikso, Spain",,,,Kosher:, ⚠️ KOSHER EXPIRED  days ago,"Vegetable chips 85gr, Shufersal",,,,,,,,#227,0/0 approved ⏳,0,0,"By SmartSuite Automation on 19 Feb, 2025",0/0 approved ⏳,002190,002190,,"By SmartSuite Automation on 19 Feb, 2025",,,
"Potato Chips Snacks, Schestowitz- Pata S.P.A, Italy, 19 Feb, 2025",0,New,Not Started,New,Not Started,0.1,,,,"Potato Chips Snacks, Schestowitz- Pata S.P.A, Italy",,,,Kosher:, ⚠️ KOSHER EXPIRED  days ago,"Potato Chips Snacks, Schestowitz",,,,,,,,#228,0/0 approved ⏳,0,0,"By SmartSuite Automation on 19 Feb, 2025",0/0 approved ⏳,002180,002180,,"By Operation Manager on 26 Mar, 2025","rony from shastowitz want to know if he want to change the packaging design for our products.  To proceed,  how long it would take to print the new packaging,",,
"sunflower oil in 5-liter PET bottles., ProPlus- Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey, 19 Feb, 2025",0,New,Not Started,New,Not Started,0.1,,,,"sunflower oil in 5-liter PET bottles., ProPlus- Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey",,,,Kosher:, ⚠️ KOSHER EXPIRED  days ago,"sunflower oil in 5-liter PET bottles., ProPlus",,,,,,,,#229,0/0 approved ⏳,0,0,"By SmartSuite Automation on 19 Feb, 2025",0/0 approved ⏳,002297,002297,,"By SmartSuite Automation on 19 Feb, 2025",,,
"Finely chopped tomatoes crop 2022, ProPlus- Solana, Italy, 19 Feb, 2025",0,New,Not Started,New,Not Started,0.1,,,,"Finely chopped tomatoes crop 2022, ProPlus- Solana, Italy",,,,Kosher:, ⚠️ KOSHER EXPIRED  days ago,"Finely chopped tomatoes crop 2022, ProPlus",,,,,,,,#230,0/0 approved ⏳,0,0,"By SmartSuite Automation on 19 Feb, 2025",0/0 approved ⏳,002250,002250,,"By SmartSuite Automation on 19 Feb, 2025",,,
"750ML EXTRA VIRGIN OLIVE OIL, Marav Mazonkol (Osher Ad)- Poyraz, Turkey, 19 Feb, 2025",0,New,Not Started,New,Not Started,0.1,,,,"750ML EXTRA VIRGIN OLIVE OIL, Marav Mazonkol (Osher Ad)- Poyraz, Turkey",,,,Kosher:, ⚠️ KOSHER EXPIRED  days ago,"750ML EXTRA VIRGIN OLIVE OIL, Marav Mazonkol (Osher Ad)",,,,,,,,#231,0/0 approved ⏳,0,0,"By SmartSuite Automation on 19 Feb, 2025",0/0 approved ⏳,002206,002206,,"By SmartSuite Automation on 19 Feb, 2025",,,
"Organic frozen vegetables , Harduf - All Organics- GreenYard, Belgium, 20 Feb, 2025",0,New,Not Started,New,Not Started,0.1,,,,"Organic frozen vegetables , Harduf - All Organics- GreenYard, Belgium",,,,Kosher:, ⚠️ KOSHER EXPIRED  days ago,"Organic frozen vegetables , Harduf - All Organics",,,,,,,,#232,0/0 approved ⏳,0,0,"By SmartSuite SCIM on 20 Feb, 2025",0/0 approved ⏳,002258,002258,,"By SmartSuite SCIM on 20 Feb, 2025",,,
"Organic Whole Rice and Legumes Snack, Harduf - All Organics- Castelfood srl, Italy, 20 Feb, 2025",0,New,Not Started,New,Not Started,0.1,,,,"Organic Whole Rice and Legumes Snack, Harduf - All Organics- Castelfood srl, Italy",,,,Kosher:, ⚠️ KOSHER EXPIRED  days ago,"Organic Whole Rice and Legumes Snack, Harduf - All Organics",,,,,,,,#233,0/0 approved ⏳,0,0,"By SmartSuite SCIM on 20 Feb, 2025",0/0 approved ⏳,002243,002243,,"By SmartSuite SCIM on 20 Feb, 2025",,,
"750 ml. Olive oil to H. Cohen (Yesh P.L), H. Cohen Import Marketing & Logistics Ltd- Poyraz, Turkey, 20 Feb, 2025",0,New,Not Started,New,Not Started,0.1,,,,"750 ml. Olive oil to H. Cohen (Yesh P.L), H. Cohen Import Marketing & Logistics Ltd- Poyraz, Turkey",,,,Kosher:, ⚠️ KOSHER EXPIRED  days ago,"750 ml. Olive oil to H. Cohen (Yesh P.L), H. Cohen Import Marketing & Logistics Ltd",,,,,,,,#234,0/0 approved ⏳,0,0,"By SmartSuite Automation on 20 Feb, 2025",0/0 approved ⏳,002269,002269,,"By SmartSuite Automation on 20 Feb, 2025",,,
"Frozen french- fries, proplus, ProPlus- Bergia frites, Netherlands, 05 Mar, 2025",0,New,Not Started,New,Not Started,0.1,,,,"Frozen french- fries, proplus, ProPlus- Bergia frites, Netherlands",,,,Kosher:, ⚠️ KOSHER EXPIRED  days ago,"Frozen french- fries, proplus, ProPlus",,,,,,,,#235,0/0 approved ⏳,0,0,"By SmartSuite Automation on 5 Mar, 2025",0/0 approved ⏳,002296,002296,,"By SmartSuite Automation on 5 Mar, 2025",,,
"Frozen Vegetables, Shufersal- Ardo, Belgium, 19 Jan, 2025",0,In Process,Not Started,Has Kosher,Not Started,1,,Approved | Approved | Approved | Approved,New,"Frozen Vegetables, Shufersal- Ardo, Belgium","Ardo, Belgium",Shufersal,"Compliance: 000059 - REGUIAR GREEN BEANS BH3(800G) [Ardo, Belgium][Shufersal], Compliance: 000035 - CUT GREEN BEANS BG4(800G) [Ardo, Belgium][Shufersal], Compliance: 000033 - EXTRA FINE GREEN BEANS BH1(600G) [Ardo, Belgium][Shufersal], Compliance: 000057 - MIX PEAS AND CARROT [Ardo, Belgium][Shufersal]","Kosher: 000032 - EXTRA FINE GARDEN PEAS EK1(600G) [Ardo, Belgium][Shufersal]000033 - EXTRA FINE GREEN BEANS BH1(600G) [Ardo, Belgium][Shufersal]000035 - CUT GREEN BEANS BG4(800G) [Ardo, Belgium][Shufersal]000057 - MIX PEAS AND CARROT [Ardo, Belgium][Shufersal]000059 - REGUIAR GREEN BEANS BH3(800G) [Ardo, Belgium][Shufersal]000054 - GREEN PEAS [Ardo, Belgium][Shufersal]", ⚠️ KOSHER EXPIRED 192 days ago,"Frozen Vegetables, Shufersal","Graphics: 000059 - REGUIAR GREEN BEANS BH3(800G) [Ardo, Belgium][Shufersal], Graphics: 000057 - MIX PEAS AND CARROT [Ardo, Belgium][Shufersal], Graphics: 000032 - EXTRA FINE GARDEN PEAS EK1(600G) [Ardo, Belgium][Shufersal], Graphics: 000035 - CUT GREEN BEANS BG4(800G) [Ardo, Belgium][Shufersal]","Mrs. Meirav Markel, Food Technologist,Shufersal",,,COA - Shufersal - 26251000967 (1) beans fine --.pdf | VGM container 26050076498.pdf | COA - Shufersal - 26251000967 cut green beans (2).pdf | COA - Shufersal - 26251003546 Beans extra fine  (3).pdf | COA_Peas and carrot mix_SO25-002009.pdf,,ARDO -CERT -Mix peas and carrots (1).pdf | ARDO -CERT -extra fine green beans 600gr (1).pdf | ARDO-CER -Regular green beans 800g (1).pdf | ARDO -CERT -Extra Fine Garden Peas 600g (1).pdf,#166,4/4 approved ✅ ,4,0,"By Udi Stryk on 19 Jan, 2025",0/4 approved ⏳,002216,002216,,"By Udi Stryk on 24 Jan, 2025",,,
