Title,Open Comments,Product,Date,Incoterms,Currency,Auto Number,Description,First Created,Last Updated,Unit price (Purchase/Base price) $/€
"000068 - tomatoes
  gnocchi 500gr [Ciemme, Italy][Shufersal]__10/12/2024",0,"000068 - tomatoes
  gnocchi 500gr [Ciemme, Italy][Shufersal]",10/12/2024,EXW (Ex Works),Euro,#130,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000069 - spinach
  gnocchi 500gr [Ciemme, Italy][Shufersal]__10/12/2024",0,"000069 - spinach
  gnocchi 500gr [Ciemme, Italy][Shufersal]",10/12/2024,EXW (Ex Works),Euro,#119,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000071 - mini
  potato gnocchi 500gr [Ciemme, Italy][Shufersal]__10/12/2024",0,"000071 - mini
  potato gnocchi 500gr [Ciemme, Italy][Shufersal]",10/12/2024,EXW (Ex Works),Euro,#026,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000074 - MUNCHIES SPICY RICE AND PEANUTS 400GR [Maas Intersales, Netherlands][Shufersal]__10/12/2024",0,"000074 - MUNCHIES SPICY RICE AND PEANUTS 400GR [Maas Intersales, Netherlands][Shufersal]",10/12/2024,FOB (Free On Board),USD,#024,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000075 - MUNCHIES SPICY RICE AND PEANUTS 200GR [Maas Intersales, Netherlands][Shufersal]__10/12/2024",0,"000075 - MUNCHIES SPICY RICE AND PEANUTS 200GR [Maas Intersales, Netherlands][Shufersal]",10/12/2024,FOB (Free On Board),USD,#010,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000076 - Gluten-free gnocchi, 500 gr (KOSHER FOR PASSOVER) [Ciemme, Italy][Shufersal]__10/12/2024",0,"000076 - Gluten-free gnocchi, 500 gr (KOSHER FOR PASSOVER) [Ciemme, Italy][Shufersal]",10/12/2024,EXW (Ex Works),Euro,#015,,"By SmartSuite Automation on 10 Dec, 2024","By Success Management on 17 Jun, 2025",1.01
"000078 - sfogliette pizza 180 gr [EuroSnacks/ FornoDamiani, Italy][Shufersal]__10/12/2024",0,"000078 - sfogliette pizza 180 gr [EuroSnacks/ FornoDamiani, Italy][Shufersal]",10/12/2024,FOB (Free On Board),Euro,#076,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000079 - sfogliette
  with olives 180 gr [EuroSnacks/ FornoDamiani, Italy][Shufersal]__10/12/2024",0,"000079 - sfogliette
  with olives 180 gr [EuroSnacks/ FornoDamiani, Italy][Shufersal]",10/12/2024,FOB (Free On Board),Euro,#068,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000081 - 750ML EXTRA VIRGIN OLIVE OIL [Mueloliva , Spain][Marav Mazonkol (Osher Ad)]__10/12/2024",0,"000081 - 750ML EXTRA VIRGIN OLIVE OIL [Mueloliva , Spain][Marav Mazonkol (Osher Ad)]",10/12/2024,FOB (Free On Board),Euro,#051,,"By SmartSuite Automation on 10 Dec, 2024","By Success Management on 24 Feb, 2025",5.92
"000085 - Dutch Butter Cookies [Daelmans, Netherlands][Shufersal]__10/12/2024",0,"000085 - Dutch Butter Cookies [Daelmans, Netherlands][Shufersal]",10/12/2024,FOB (Free On Board),Euro,#011,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000086 - Dutch Caramel Wafers [Daelmans, Netherlands][Shufersal]__10/12/2024",0,"000086 - Dutch Caramel Wafers [Daelmans, Netherlands][Shufersal]",10/12/2024,FOB (Free On Board),Euro,#094,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000088 - SFOGLIETTE ROSEMARY [EuroSnacks/ FornoDamiani, Italy][Shufersal]__10/12/2024",0,"000088 - SFOGLIETTE ROSEMARY [EuroSnacks/ FornoDamiani, Italy][Shufersal]",10/12/2024,FOB (Free On Board),Euro,#031,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000089 - Dark Chocolate 72% Sugar-Free [Icam, Italy][Shufersal]__10/12/2024",0,"000089 - Dark Chocolate 72% Sugar-Free [Icam, Italy][Shufersal]",10/12/2024,FCA (Free Carrier),Euro,#087,,"By SmartSuite Automation on 10 Dec, 2024","By Operation Manager on 7 Apr, 2025",1.168
"000090 - Milk Chocolate 32% Sugar-Free with Hazelnuts [Icam, Italy][Shufersal]__10/12/2024",0,"000090 - Milk Chocolate 32% Sugar-Free with Hazelnuts [Icam, Italy][Shufersal]",10/12/2024,FCA (Free Carrier),Euro,#139,,"By SmartSuite Automation on 10 Dec, 2024","By Operation Manager on 7 Apr, 2025",1.463
"000091 - Milk Chocolate 32% Sugar-Free [Icam, Italy][Shufersal]__10/12/2024",0,"000091 - Milk Chocolate 32% Sugar-Free [Icam, Italy][Shufersal]",10/12/2024,FCA (Free Carrier),Euro,#099,,"By SmartSuite Automation on 10 Dec, 2024","By Operation Manager on 7 Apr, 2025",1.115
"000092 - Ladyfingers ""Shufersal"" 200g [Vicenzi, Italy][Shufersal]__10/12/2024",0,"000092 - Ladyfingers ""Shufersal"" 200g [Vicenzi, Italy][Shufersal]",10/12/2024,FOB (Free On Board),Euro,#044,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000093 - CORNFLAKES SHUFERSAL 750 GR. [Crispy food, Denmark][Shufersal]__10/12/2024",0,"000093 - CORNFLAKES SHUFERSAL 750 GR. [Crispy food, Denmark][Shufersal]",10/12/2024,FOB (Free On Board),Euro,#042,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
