Order Status history ID,Order Status history Title,Open Comments,Order,Status From,Status To,Status Change Date,Previous Status Change Date,Duration (h),Last Updated,First Created,Description
#044,: Status change From “Shipped”  To  “Confirmed By Vendor”,0,,Shipped,Confirmed By Vendor,"15 Jul, 2024 at 4:31 PM","15 Jul, 2024 at 4:31 PM",0.00,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#045,: Status change From “Confirmed By Vendor”  To  “Partially Shipped”,0,,Confirmed By Vendor,Partially Shipped,"15 Jul, 2024 at 4:32 PM","15 Jul, 2024 at 4:31 PM",0.02,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#046,: Status change From “Partially Shipped”  To  “Confirmed By Vendor”,0,,Partially Shipped,Confirmed By Vendor,"15 Jul, 2024 at 4:33 PM","15 Jul, 2024 at 4:32 PM",0.01,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#047,: Status change From “Order Confirmed”  To  “Closed”,0,,Order Confirmed,Closed,"15 Jul, 2024 at 5:42 PM",,0.00,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#048,: Status change From “Order Confirmed”  To  “Closed”,0,,Order Confirmed,Closed,"15 Jul, 2024 at 6:11 PM",,0.00,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#049,: Status change From “Order Confirmed”  To  “Closed”,0,,Order Confirmed,Closed,"16 Jul, 2024 at 10:53 AM",,0.00,"By SmartSuite Automation on 16 Jul, 2024","By SmartSuite Automation on 16 Jul, 2024",
#050,: Status change From “Order Confirmed”  To  “Closed”,0,,Order Confirmed,Closed,"16 Jul, 2024 at 6:11 PM",,0.00,"By SmartSuite Automation on 16 Jul, 2024","By SmartSuite Automation on 16 Jul, 2024",
#051,: Status change From “New”  To  “Closed”,0,,New,Closed,"17 Jul, 2024 at 2:33 PM","8 Sep, 2023",7523.57,"By Udi Stryk on 28 Oct, 2024","By SmartSuite Automation on 17 Jul, 2024",
#052,: Status change From “New”  To  “Confirmed By Vendor”,0,,New,Confirmed By Vendor,"18 Jul, 2024 at 5:40 PM",,0.00,"By Udi Stryk on 13 Aug, 2024","By SmartSuite Automation on 18 Jul, 2024",
#053,: Status change From “New”  To  “Order Confirmed”,0,,New,Order Confirmed,"21 Jul, 2024 at 10:38 AM","23 Jul, 2024",-40.36,"By Udi Stryk on 22 Oct, 2024","By SmartSuite Automation on 21 Jul, 2024",
#054,: Status change From “Order Confirmed”  To  “Canceled”,0,,Order Confirmed,Canceled,"21 Jul, 2024 at 10:54 AM","21 Jul, 2024 at 10:38 AM",0.27,"By Udi Stryk on 22 Oct, 2024","By SmartSuite Automation on 21 Jul, 2024",
#055,: Status change From “New”  To  “Partially Shipped”,0,,New,Partially Shipped,"14 Aug, 2024 at 12:33 PM","18 Jul, 2024",657.56,"By Udi Stryk on 18 Oct, 2024","By SmartSuite Automation on 14 Aug, 2024",
#056,: Status change From “Partially Shipped”  To  “Closed”,0,,Partially Shipped,Closed,"14 Aug, 2024 at 6:59 PM","14 Aug, 2024 at 12:33 PM",6.43,"By Udi Stryk on 18 Oct, 2024","By SmartSuite Automation on 14 Aug, 2024",
#057,: Status change From “”  To  “Canceled”,0,,,Canceled,"20 Aug, 2024 at 5:48 PM",,,"By SmartSuite Automation on 20 Aug, 2024","By SmartSuite Automation on 20 Aug, 2024",
