Shipping ID,Arrival Date,Arrival Filter,Buyer,Buyer's P.O Lines Confirmation,Cartons Per Shipment,Cartons Per Shipment (from Report),Comments,Commission Difference,Commission from Report,Commission payment ($/€),Commission Rate (%),Commission Rates,Completed Fields,Completion Percentage,Container number/ ID,Container Size,Currency for P.O,Days to destination,Delay in Ports,dev - Confirmation Received,dev - Order Status (Formula),Difference (Cartons/🚢 est vs actual),Difference (Estimated vs Arrived),Difference between order & Shipping,Difference Units/🚢 (est. vs actual),Differnce between Shipping & Invoice (ILS),Dry/ Reefer Container?,Est. Arrival in Next 14 days,Est. Arrival in Next 30 days,Est. Arrival in Next 7 days,Est. Arrival in past 14 days,Est. Arrival in past 30 days,Est. Arrival in past 7 days,First Created,Formula Shorba,Invoice ID,Invoice Status,Last Updated,Link to Invoices,Link to Project status,Linked Order line,Loading Start/Commercial invoice DATE,Lookup OL Statuses,Lookup Order Status,LookupTEMP,Open Comments,Order,Order line ID,Order Line Items,Order Lines SUM. Price,Order Status (No Needed),Payer,Percent Completed,Percentage arrived in shipment,Purchase order files (Orders),Requested delivery date,Shipment Number (Buyer Ref.),Shipment's Invoice.s SUM. $/€,Shipping company,Shipping documentation,Shipping Status,Supplier,Supplier's Invoice Number.s,Units Per Shipment,Units Per Shipment (from Report)
"100, 110, 130, 120  - Order: 000326-SHF [114497],La Doria, Italy",23/12/2023,,Shufersal,,3150,,,,,1084.86,3.50,"La Doria, Italy  _ Shufersal",,,ZIMU 300615.1​,20 FT.,EUR,8,10,No,Supplied to Buyer,3150,,30996,37800,"30,996.000",Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 7 Jan, 2025",,", 100, 110, 130, 120  - Order: 000326-SHF [114497],La Doria, Italy",New,"By Udi Stryk on 20 Feb, 2025",", 100, 110, 130, 120  - Order: 000326-SHF [114497],La Doria, Italy",,100 | 110 | 130 | 120,5/12/2023,Supplied to Buyer | Supplied to Buyer | Supplied to Buyer | Supplied to Buyer,Supplied to Buyer,"30,996.000",0,Order: 000326-SHF [114497],#919,"100  _   000107 - TOMATO PASTA SAUCE GARLIC 350 GR. [La Doria, Italy][Shufersal]  _  Order: 000326-SHF [114497], 110  _   000106 - TOMATO PASTA SAUCE WITH BASILICO 350 G [La Doria, Italy][Shufersal]  _  Order: 000326-SHF [114497], 130  _   000098 - Neapolitan sauce 350 gr [La Doria, Italy][Shufersal]  _  Order: 000326-SHF [114497], 120  _   000097 - TOMATO PASTA SAUCE BASE FOR BOLOGNSE [La Doria, Italy][Shufersal]  _  Order: 000326-SHF [114497]",0.000,Supplied to Buyer,Buyer,1,"-,100.000%",order_114497.PDF,31/12/2023 | 31/12/2023 | 31/12/2023 | 31/12/2023,,30996,Zim,"Invoice_2023058373.pdf, Shipment_2023058373.pdf, VGM_Declaration_0000139091.pdf",Delivered to Buyer,"La Doria, Italy",2023058373,37800,
"100  - Order: 000215-SHF [115497],La Doria, Italy",7/6/2025,"Next 7 days, Next 15 days, Next 30 days",Shufersal,,1900,,LINE 100 - 1/2,,,585.2,3.50,"La Doria, Italy  _ Shufersal",,,,40 FT.,EUR,8,10,No,Partially Shipped,1900,,16720,,,Dry,0.00,0.00,0.00,0.00,1,0.00,"By Success Management on 25 May, 2025",Last  days,,,"By SmartSuite Automation on 1 Jun, 2025",,,100,20/5/2025,Supplied to Buyer,Partially Shipped,,0,Order: 000215-SHF [115497],#1383,"100  _   000042 - Finely Chopped Tomatoes 3x400 [La Doria, Italy][Shufersal]  _  Order: 000215-SHF [115497]",,Partially Shipped,Buyer,,"-,100.000%",order_115497.PDF | order num. 115497.pdf,9/2/2025,,16720,,"VGM_Declaration_0000242294.PDF, Invoice_2025023767.PDF, Shipment_2025023767.PDF",In Transit,"La Doria, Italy",2025023767,,
"100  - Order: 000215-SHF [115497],La Doria, Italy",7/6/2025,"Next 7 days, Next 15 days, Next 30 days",Shufersal,,1900,,LINE 100 - 2/2,,,585.2,3.50,"La Doria, Italy  _ Shufersal",,,TIIU 231153.6,40 FT.,EUR,8,10,No,Partially Shipped,1900,,16720,,,Dry,0.00,0.00,0.00,0.00,1,0.00,"By Success Management on 25 May, 2025",Last  days,,,"By SmartSuite Automation on 1 Jun, 2025",,,100,20/5/2025,Supplied to Buyer,Partially Shipped,,0,Order: 000215-SHF [115497],#1384,"100  _   000042 - Finely Chopped Tomatoes 3x400 [La Doria, Italy][Shufersal]  _  Order: 000215-SHF [115497]",,Partially Shipped,Buyer,,"-,100.000%",order_115497.PDF | order num. 115497.pdf,9/2/2025,,16720,,"VGM_Declaration_0000242293.PDF, Invoice_2025023714.PDF, Shipment_2025023714.PDF",In Transit,"La Doria, Italy",2025023714,,
"90, 100, 110, 120  - Order: 000498-SHF [115514],La Doria, Italy",10/5/2025,"Next 7 days, Next 15 days, Next 30 days",Shufersal,,3152,,,,,1084.9489,3.50,"La Doria, Italy  _ Shufersal",,,ZIMU 315192.5,40 FT.,EUR,8,10,No,Completed,3152,,30998.54,,"30,996.000",Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 24 Apr, 2025",,"20061, 90, 100, 110, 120  - Order: 000498-SHF [115514],La Doria, Italy",New,"By Success Management on 16 Jun, 2025","20061, 90, 100, 110, 120  - Order: 000498-SHF [115514],La Doria, Italy",,90 | 100 | 110 | 120,22/4/2025,Supplied to Buyer | Supplied to Buyer | Supplied to Buyer | Supplied to Buyer,Completed,"30,996.000",0,Order: 000498-SHF [115514],#1363,"90  _   000107 - TOMATO PASTA SAUCE GARLIC 350 GR. [La Doria, Italy][Shufersal]  _  Order: 000498-SHF [115514], 100  _   000106 - TOMATO PASTA SAUCE WITH BASILICO 350 G [La Doria, Italy][Shufersal]  _  Order: 000498-SHF [115514], 110  _   000097 - TOMATO PASTA SAUCE BASE FOR BOLOGNSE [La Doria, Italy][Shufersal]  _  Order: 000498-SHF [115514], 120  _   000098 - Neapolitan sauce 350 gr [La Doria, Italy][Shufersal]  _  Order: 000498-SHF [115514]",0.000,Completed,Buyer,,"-,100.000%",order_115514.PDF | order num. 115514.pdf,18/5/2025 | 18/5/2025 | 18/5/2025 | 18/5/2025,,30998.54,,"lot Number List UPDATED n 2025019194.pdf, VGM_Declaration_0000238799.PDF, Shipment_2025019194.PDF, Invoice_2025019194.PDF",Delivered to Buyer,"La Doria, Italy",2025019194,,
"90  - Order: 000215-SHF [115497],La Doria, Italy",7/6/2025,"Next 7 days, Next 15 days, Next 30 days",Shufersal,,1900,,2025023747,,,585.2,3.50,"La Doria, Italy  _ Shufersal",,,TGBU 201393.3 ,40 FT.,EUR,8,10,No,Partially Shipped,1900,,16720,,,Dry,0.00,0.00,0.00,0.00,1,0.00,"By Success Management on 25 May, 2025",Last  days,,,"By SmartSuite Automation on 1 Jun, 2025",,,90,20/5/2025,Supplied to Buyer,Partially Shipped,,0,Order: 000215-SHF [115497],#1377,"90  _   000042 - Finely Chopped Tomatoes 3x400 [La Doria, Italy][Shufersal]  _  Order: 000215-SHF [115497]",,Partially Shipped,Buyer,,"-,100.000%",order_115497.PDF | order num. 115497.pdf,26/1/2025,,16720,,"VGM_Declaration_0000242296.PDF, Invoice_2025023747.PDF, Shipment_2025023747.PDF",In Transit,"La Doria, Italy",2025023747,,
"90  - Order: 000215-SHF [115497],La Doria, Italy",7/6/2025,"Next 7 days, Next 15 days, Next 30 days",Shufersal,,1900,,"line 90 - 1/2
",,,585.2,3.50,"La Doria, Italy  _ Shufersal",,,ZIMU 276951.8 ,40 FT.,EUR,8,10,No,Partially Shipped,1900,,16720,,,Dry,0.00,0.00,0.00,0.00,1,0.00,"By Success Management on 25 May, 2025",Last  days,,,"By SmartSuite Automation on 1 Jun, 2025",,,90,20/5/2025,Supplied to Buyer,Partially Shipped,,0,Order: 000215-SHF [115497],#1378,"90  _   000042 - Finely Chopped Tomatoes 3x400 [La Doria, Italy][Shufersal]  _  Order: 000215-SHF [115497]",,Partially Shipped,Buyer,,"-,100.000%",order_115497.PDF | order num. 115497.pdf,26/1/2025,,16720,,"VGM_Declaration_0000242297.PDF, Invoice_2025023808.PDF, Shipment_2025023808.PDF",In Transit,"La Doria, Italy",2025023808,,
"80  - Order: 000438-SHF [114699],La Doria, Italy",16/3/2024,,Shufersal,,1900,1900,,,,691.6,3.50,"La Doria, Italy  _ Shufersal",,,ZIMU3012982,20 FT.,EUR,8,10,No,Supplied to Buyer,0,,19760,0,"28,852.000",Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 9 Jan, 2025",,"SI246000026, 80  - Order: 000438-SHF [114699],La Doria, Italy",Paid,"By Udi Stryk on 20 Feb, 2025","SI246000026, 80  - Order: 000438-SHF [114699],La Doria, Italy",,80,27/2/2024,Supplied to Buyer,Supplied to Buyer,"19,760.000",0,Order: 000438-SHF [114699],#936,"80  _   000042 - Finely Chopped Tomatoes 3x400 [La Doria, Italy][Shufersal]  _  Order: 000438-SHF [114699]",,Supplied to Buyer,Buyer,,"-,100.000%",order_114699.PDF,12/5/2024,,19760,Zim,"VGM_Declaration_0000154433.PDF, Shipment_2024009990.PDF, Invoice_2024009990.PDF",Delivered to Buyer,"La Doria, Italy",2024009990,15200,15200
"80  - Order: 000215-SHF [115497],La Doria, Italy",7/6/2025,"Next 7 days, Next 15 days, Next 30 days",Shufersal,,1900,,Line 80 - 1/2,,,585.2,3.50,"La Doria, Italy  _ Shufersal",,,BSIU 299050.6,40 FT.,EUR,8,10,No,Partially Shipped,1900,,16720,,,Dry,0.00,0.00,0.00,0.00,1,0.00,"By Success Management on 25 May, 2025",Last  days,,,"By SmartSuite Automation on 1 Jun, 2025",,,80,20/5/2025,Supplied to Buyer,Partially Shipped,,0,Order: 000215-SHF [115497],#1380,"80  _   000042 - Finely Chopped Tomatoes 3x400 [La Doria, Italy][Shufersal]  _  Order: 000215-SHF [115497]",,Partially Shipped,Buyer,,"-,100.000%",order_115497.PDF | order num. 115497.pdf,12/1/2025,,16720,,"Shipment_2025023809.PDF, Invoice_2025023809.PDF",In Transit,"La Doria, Italy",2025023809,,
"80  - Order: 000215-SHF [115497],La Doria, Italy",8/6/2025,"Next 7 days, Next 15 days, Next 30 days",Shufersal,,1900,,line 80 - 2/2,,,585.2,3.50,"La Doria, Italy  _ Shufersal",,,CRSU 110504.4 ,40 FT.,EUR,8,10,No,Partially Shipped,1900,,16720,,,Dry,0.00,0.00,0.00,0.00,1,0.00,"By Success Management on 25 May, 2025",Last  days,,,"By SmartSuite Automation on 2 Jun, 2025",,,80,21/5/2025,Supplied to Buyer,Partially Shipped,,0,Order: 000215-SHF [115497],#1382,"80  _   000042 - Finely Chopped Tomatoes 3x400 [La Doria, Italy][Shufersal]  _  Order: 000215-SHF [115497]",,Partially Shipped,Buyer,,"-,100.000%",order_115497.PDF | order num. 115497.pdf,12/1/2025,,16720,,"VGM_Declaration_0000242298.PDF, Invoice_2025023914.PDF, Shipment_2025023914.PDF",In Transit,"La Doria, Italy",2025023914,,
"70, 80, 90  - Order: 000326-SHF [114497],La Doria, Italy",23/12/2023,,Shufersal,,3151,,,,,1084.86,3.50,"La Doria, Italy  _ Shufersal",,,TRHU 211639.1,20 FT.,EUR,8,10,No,Supplied to Buyer,3151,,30996,37801,"30,996.000 | 36,142.070",Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 7 Jan, 2025",,", 70, 80, 90  - Order: 000326-SHF [114497],La Doria, Italy | 1799, 70, 80, 90  - Order: 000326-SHF [114497],La Doria, Italy",New | Sent to Client,"By Udi Stryk on 20 Feb, 2025",", 70, 80, 90  - Order: 000326-SHF [114497],La Doria, Italy, 1799, 70, 80, 90  - Order: 000326-SHF [114497],La Doria, Italy",,70 | 80 | 90,5/12/2023,Supplied to Buyer | Supplied to Buyer | Supplied to Buyer,Supplied to Buyer,"30,996.000 | 30,996.000",0,Order: 000326-SHF [114497],#920,"70  _   000107 - TOMATO PASTA SAUCE GARLIC 350 GR. [La Doria, Italy][Shufersal]  _  Order: 000326-SHF [114497], 80  _   000106 - TOMATO PASTA SAUCE WITH BASILICO 350 G [La Doria, Italy][Shufersal]  _  Order: 000326-SHF [114497], 90  _   000097 - TOMATO PASTA SAUCE BASE FOR BOLOGNSE [La Doria, Italy][Shufersal]  _  Order: 000326-SHF [114497]",0.000,Supplied to Buyer,Buyer,1,"-,100.000%",order_114497.PDF,19/11/2023 | 19/11/2023 | 19/11/2023,,30996,Zim,"Shipment_2023053321.pdf, VGM_Declaration_0000133422.pdf, Stampanti LaDoria PR_20231115_083400.pdf, Invoice_2023053321.pdf",Delivered to Buyer,"La Doria, Italy",2023058373,37801,
"70  - Order: 000438-SHF [114699],La Doria, Italy",24/3/2024,,Shufersal,,1900,,,,,691.6,3.50,"La Doria, Italy  _ Shufersal",,,ZIMU 130682.2​,20 FT.,EUR,8,10,No,Supplied to Buyer,1900,,19760,45600,"22,904.120",Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 9 Jan, 2025",,"SI246000026, 70  - Order: 000438-SHF [114699],La Doria, Italy",Paid,"By Udi Stryk on 20 Feb, 2025","SI246000026, 70  - Order: 000438-SHF [114699],La Doria, Italy",,70,6/3/2024,Supplied to Buyer,Supplied to Buyer,"19,760.000",0,Order: 000438-SHF [114699],#935,"70  _   000042 - Finely Chopped Tomatoes 3x400 [La Doria, Italy][Shufersal]  _  Order: 000438-SHF [114699]",,Supplied to Buyer,Buyer,,"-,100.000%",order_114699.PDF,12/5/2024,,19760,Zim,"COA - Finely Chopped Tomatoes 400g - Batch Code C049 FD1 LM221 (2).doc, 2) DECLARATION COMMERCIAL STABILITY  (3).docx, VGM_Declaration_0000154435.PDF, Shipment_2024011697.PDF, Invoice_2024011697.PDF",Delivered to Buyer,"La Doria, Italy",2024011697,45600,
"70  - Order: 000215-SHF [115497],La Doria, Italy",7/6/2025,"Next 7 days, Next 15 days, Next 30 days",Shufersal,,1900,, line 70 - 2/2,,,585.2,3.50,"La Doria, Italy  _ Shufersal",,,TGBU 253717.0 ,40 FT.,EUR,8,10,No,Partially Shipped,1900,,16720,,,Dry,0.00,0.00,0.00,0.00,1,0.00,"By Success Management on 25 May, 2025",Last  days,,,"By SmartSuite Automation on 1 Jun, 2025",,,70,20/5/2025,Supplied to Buyer,Partially Shipped,,0,Order: 000215-SHF [115497],#1379,"70  _   000042 - Finely Chopped Tomatoes 3x400 [La Doria, Italy][Shufersal]  _  Order: 000215-SHF [115497]",,Partially Shipped,Buyer,,"-,100.000%",order_115497.PDF | order num. 115497.pdf,29/12/2024,,16720,,"Shipment_2025023880.PDF, Invoice_2025023880.PDF",In Transit,"La Doria, Italy",2025023880,,
"70  - Order: 000215-SHF [115497],La Doria, Italy",7/6/2025,"Next 7 days, Next 15 days, Next 30 days",Shufersal,,1900,," line 70 - 1/2
",,,585.2,3.50,"La Doria, Italy  _ Shufersal",,, line 70 - 1/2,40 FT.,EUR,8,10,No,Partially Shipped,1900,,16720,,,Dry,0.00,0.00,0.00,0.00,1,0.00,"By Success Management on 25 May, 2025",Last  days,,,"By SmartSuite Automation on 1 Jun, 2025",,,70,20/5/2025,Supplied to Buyer,Partially Shipped,,0,Order: 000215-SHF [115497],#1381,"70  _   000042 - Finely Chopped Tomatoes 3x400 [La Doria, Italy][Shufersal]  _  Order: 000215-SHF [115497]",,Partially Shipped,Buyer,,"-,100.000%",order_115497.PDF | order num. 115497.pdf,29/12/2024,,16720,,"VGM_Declaration_0000242300.PDF, Invoice_2025023750.PDF, Shipment_2025023750.PDF",In Transit,"La Doria, Italy",2025023750,,
"60  - Order: 000438-SHF [114699],La Doria, Italy",26/3/2024,,Shufersal,,1900,,,,,691.6,3.50,"La Doria, Italy  _ Shufersal",,,WFHU 136512.6​,20 FT.,EUR,8,10,No,Supplied to Buyer,1900,,19760,45600,"19,760.000",Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 9 Jan, 2025",,", 60  - Order: 000438-SHF [114699],La Doria, Italy",New,"By Udi Stryk on 20 Feb, 2025",", 60  - Order: 000438-SHF [114699],La Doria, Italy",,60,8/3/2024,Supplied to Buyer,Supplied to Buyer,"19,760.000",0,Order: 000438-SHF [114699],#934,"60  _   000042 - Finely Chopped Tomatoes 3x400 [La Doria, Italy][Shufersal]  _  Order: 000438-SHF [114699]",,Supplied to Buyer,Buyer,0.91,"-,100.000%",order_114699.PDF,7/4/2024,,19760,,"COA - Finely Chopped Tomatoes 400g - Batch Code C049 FD1 LM221 (1).doc, 2) DECLARATION COMMERCIAL STABILITY  (2).docx, Shipment_2024012196.PDF, Invoice_2024012196.PDF",Delivered to Buyer,"La Doria, Italy",2024012196,45600,
"60  - Order: 000215-SHF [115497],La Doria, Italy",27/4/2025,"Next 7 days, Next 15 days, Next 30 days",Shufersal,,,,משלוח 1 מתוך 2,,,585.2,3.50,"La Doria, Italy  _ Shufersal",,,BSIU 299087.2,40 FT.,EUR,8,10,No,Partially Shipped,,,16720,,"33,440.000",Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 9 Apr, 2025",,"20041, 60  - Order: 000215-SHF [115497],La Doria, Italy60  - Order: 000215-SHF [115497],La Doria, Italy",New,"By Success Management on 6 May, 2025","20041, 60  - Order: 000215-SHF [115497],La Doria, Italy60  - Order: 000215-SHF [115497],La Doria, Italy",,60,9/4/2025,Supplied to Buyer,Partially Shipped,"33,440.000",0,Order: 000215-SHF [115497],#1355,"60  _   000042 - Finely Chopped Tomatoes 3x400 [La Doria, Italy][Shufersal]  _  Order: 000215-SHF [115497]",,Partially Shipped,Buyer,,"-,100.000%",order_115497.PDF | order num. 115497.pdf,15/12/2024,29932,16720,,"VGM_Declaration_0000238403.PDF, Shipment_2025017144.PDF, Invoice_2025017144.PDF",In Transit,"La Doria, Italy",2025017144,,
"60  - Order: 000215-SHF [115497],La Doria, Italy",28/4/2025,"Next 7 days, Next 15 days, Next 30 days",Shufersal,,1900,,שורה  60 2/2,,,585.2,3.50,"La Doria, Italy  _ Shufersal",,,BSIU 302339.4,40 FT.,EUR,8,10,No,Partially Shipped,1900,,16720,,"33,440.000",Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 20 Apr, 2025",,"20041, 60  - Order: 000215-SHF [115497],La Doria, Italy60  - Order: 000215-SHF [115497],La Doria, Italy",New,"By Success Management on 6 May, 2025","20041, 60  - Order: 000215-SHF [115497],La Doria, Italy60  - Order: 000215-SHF [115497],La Doria, Italy",,60,10/4/2025,Supplied to Buyer,Partially Shipped,"33,440.000",0,Order: 000215-SHF [115497],#1356,"60  _   000042 - Finely Chopped Tomatoes 3x400 [La Doria, Italy][Shufersal]  _  Order: 000215-SHF [115497]",,Partially Shipped,Buyer,,"-,100.000%",order_115497.PDF | order num. 115497.pdf,15/12/2024,29932,16720,,"VGM_Declaration_0000238404.PDF, Shipment_2025017396.PDF, Invoice_2025017396.PDF",In Transit,"La Doria, Italy",2025017396 ,,
"50, 60, 70, 80  - Order: 000498-SHF [115514],La Doria, Italy",17/5/2025,"Next 7 days, Next 15 days, Next 30 days",Shufersal,,3150,,,,,1084.9489,3.50,"La Doria, Italy  _ Shufersal",,,JXJU 323714.5,40 FT.,EUR,8,10,No,Completed,3150,,30998.54,,"30,996.000",Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 5 May, 2025",,"20062, 50, 60, 70, 80  - Order: 000498-SHF [115514],La Doria, Italy",New,"By Success Management on 19 Jun, 2025","20062, 50, 60, 70, 80  - Order: 000498-SHF [115514],La Doria, Italy",,50 | 60 | 70 | 80,29/4/2025,Supplied to Buyer | Supplied to Buyer | Supplied to Buyer | Supplied to Buyer,Completed,"30,996.000",0,Order: 000498-SHF [115514],#1365,"50  _   000107 - TOMATO PASTA SAUCE GARLIC 350 GR. [La Doria, Italy][Shufersal]  _  Order: 000498-SHF [115514], 60  _   000106 - TOMATO PASTA SAUCE WITH BASILICO 350 G [La Doria, Italy][Shufersal]  _  Order: 000498-SHF [115514], 70  _   000097 - TOMATO PASTA SAUCE BASE FOR BOLOGNSE [La Doria, Italy][Shufersal]  _  Order: 000498-SHF [115514], 80  _   000098 - Neapolitan sauce 350 gr [La Doria, Italy][Shufersal]  _  Order: 000498-SHF [115514]",0.000,Completed,Buyer,,"-,100.000%",order_115514.PDF | order num. 115514.pdf,14/4/2025 | 14/4/2025 | 14/4/2025 | 14/4/2025,29926,30998.54,,"VGM_Declaration_0000238798.PDF, Shipment_2025020227.PDF, Invoice_2025020227.PDF",Delivered to Buyer,"La Doria, Italy",2025020227,,
"50, 60  - Order: 000327-SHF [114557],La Doria, Italy",7/7/2024,,Shufersal,,2998,,,,,1214.675,3.50,"La Doria, Italy  _ Shufersal",,,ZIMU 284232.6​,20 FT.,EUR,8,10,No,Supplied to Buyer,2998,,34705,2998,"40,418.410",Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 8 Jan, 2025",,"SI246000134, 50, 60  - Order: 000327-SHF [114557],La Doria, Italy",Paid,"By Udi Stryk on 20 Feb, 2025","SI246000134, 50, 60  - Order: 000327-SHF [114557],La Doria, Italy",,50 | 60,19/6/2024,Supplied to Buyer | Supplied to Buyer,Supplied to Buyer,"34,705.000",0,Order: 000327-SHF [114557],#924,"50  _   000269 - Organic tomato sauce with garlic and oregano, 350 grams Shufersal
 [La Doria, Italy][Shufersal]  _  Order: 000327-SHF [114557], 60  _   000270 - Organic tomato sauce for pasta with green basil, 350 grams Shufersal
 [La Doria, Italy][Shufersal]  _  Order: 000327-SHF [114557]",,Supplied to Buyer,Buyer,,"-,100.000%",order_114557.PDF,7/7/2024 | 7/7/2024,,34705,Zim,"ZIMU_BOLImage_1896391943.pdf, VGM_Declaration_0000177345.pdf, Shipment_2024030072.pdf, Invoice_2024030072.pdf",Delivered to Buyer,"La Doria, Italy",2024030072,2998,
"50  - Order: 000438-SHF [114699],La Doria, Italy",12/4/2024,,Shufersal,,1900,1900,,,,691.6,3.50,"La Doria, Italy  _ Shufersal",,,ZIMU 301298.2​,20 FT.,EUR,8,10,No,Supplied to Buyer,0,,19760,30400,"41,555.710",Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 9 Jan, 2025",,"SI246000063 , 50  - Order: 000438-SHF [114699],La Doria, Italy10, 20, 30, 40  - Order: 000356-SHF [115103],La Doria, Italy",Paid,"By Udi Stryk on 20 Feb, 2025","SI246000063 , 50  - Order: 000438-SHF [114699],La Doria, Italy10, 20, 30, 40  - Order: 000356-SHF [115103],La Doria, Italy",,50,25/3/2024,Supplied to Buyer,Supplied to Buyer,"35,733.200",0,Order: 000438-SHF [114699],#933,"50  _   000042 - Finely Chopped Tomatoes 3x400 [La Doria, Italy][Shufersal]  _  Order: 000438-SHF [114699]",,Supplied to Buyer,Buyer,,"-,100.000%",order_114699.PDF,28/1/2024,,19760,Zim,"2) DECLARATION COMMERCIAL STABILITY  (1).docx, COA - Finely Chopped Tomatoes 400g - Batch Code C049 FD1 LM240.docx, Shipment_2024014744.PDF, Invoice_2024014744.PDF",Delivered to Buyer,"La Doria, Italy",2024014744,45600,15200
"50  - Order: 000215-SHF [115497],La Doria, Italy",14/4/2025,"Next 7 days, Next 15 days, Next 30 days",Shufersal,,1900,,line 50 - 2/2,,,585.2,3.50,"La Doria, Italy  _ Shufersal",,,TRHU 258040,40 FT.,EUR,8,10,No,Partially Shipped,1900,,16720,,"33,440.000",Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 27 Mar, 2025",,"20040, 50  - Order: 000215-SHF [115497],La Doria, Italy50  - Order: 000215-SHF [115497],La Doria, Italy",New,"By Success Management on 6 May, 2025","20040, 50  - Order: 000215-SHF [115497],La Doria, Italy50  - Order: 000215-SHF [115497],La Doria, Italy",,50,27/3/2025,Supplied to Buyer,Partially Shipped,"33,440.000",0,Order: 000215-SHF [115497],#1349,"50  _   000042 - Finely Chopped Tomatoes 3x400 [La Doria, Italy][Shufersal]  _  Order: 000215-SHF [115497]",,Partially Shipped,Buyer,,"-,100.000%",order_115497.PDF | order num. 115497.pdf,1/12/2024,29815,16720,,"VGM_Declaration_0000235093.PDF, Shipment_2025014706.PDF, Invoice_2025014706.PDF",Delivered to Buyer,"La Doria, Italy",2025014706,,
"50  - Order: 000215-SHF [115497],La Doria, Italy",14/4/2025,"Next 7 days, Next 15 days, Next 30 days",Shufersal,,1900,,line 50 - 1/2,,,585.2,3.50,"La Doria, Italy  _ Shufersal",,,ZIMU 276923.0,40 FT.,EUR,8,10,No,Partially Shipped,1900,,16720,,"33,440.000",Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 27 Mar, 2025",,"20040, 50  - Order: 000215-SHF [115497],La Doria, Italy50  - Order: 000215-SHF [115497],La Doria, Italy",New,"By Success Management on 6 May, 2025","20040, 50  - Order: 000215-SHF [115497],La Doria, Italy50  - Order: 000215-SHF [115497],La Doria, Italy",,50,27/3/2025,Supplied to Buyer,Partially Shipped,"33,440.000",0,Order: 000215-SHF [115497],#1350,"50  _   000042 - Finely Chopped Tomatoes 3x400 [La Doria, Italy][Shufersal]  _  Order: 000215-SHF [115497]",,Partially Shipped,Buyer,,"-,100.000%",order_115497.PDF | order num. 115497.pdf,1/12/2024,29815,16720,,"VGM_Declaration_0000234823.PDF, Shipment_2025014710.PDF, Invoice_2025014710.PDF",Delivered to Buyer,"La Doria, Italy",2025014710,,
"40, 50, 60  - Order: 000326-SHF [114497],La Doria, Italy",28/11/2023,,Shufersal,,3151,,,,,1084.86,3.50,"La Doria, Italy  _ Shufersal",,,DFSU 247431.6​,20 FT.,EUR,18,10,No,Supplied to Buyer,3151,,30996,37801,"36,046.620",Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By SmartSuite Automation on 8 Jan, 2025",,"SI246000061, 40, 50, 60  - Order: 000326-SHF [114497],La Doria, Italy",Paid,"By Udi Stryk on 20 Feb, 2025","SI246000061, 40, 50, 60  - Order: 000326-SHF [114497],La Doria, Italy",,40 | 50 | 60,31/10/2023,Supplied to Buyer | Supplied to Buyer | Supplied to Buyer,Supplied to Buyer,"30,996.000",0,Order: 000326-SHF [114497],#928,"40  _   000107 - TOMATO PASTA SAUCE GARLIC 350 GR. [La Doria, Italy][Shufersal]  _  Order: 000326-SHF [114497], 50  _   000106 - TOMATO PASTA SAUCE WITH BASILICO 350 G [La Doria, Italy][Shufersal]  _  Order: 000326-SHF [114497], 60  _   000097 - TOMATO PASTA SAUCE BASE FOR BOLOGNSE [La Doria, Italy][Shufersal]  _  Order: 000326-SHF [114497]",0.000,Supplied to Buyer,Buyer,1,"-,100.000%",order_114497.PDF,1/10/2023 | 1/10/2023 | 1/10/2023,,30996,Zim,Invoice_2023052274.pdf,Delivered to Buyer,"La Doria, Italy",2023052274,37801,
