Graphics Process ID,Open Comments,Product,Graphic files,Adaptation Process,Graphics Stage,Supplier,Buyer,Product sticker Measurements (CM),Box Sticker Measurements (mm/cm),Buyer's Approval Date,Choromoline confirmed?,Buyer's Approval for label,Auto Number,First Created,Last Updated
"Graphics: 000101 - Potato gnocchi 500gr [Ciemme, Italy][Shufersal]",1,"000101 - Potato gnocchi 500gr [Ciemme, Italy][Shufersal]",,"Potato Gnocchi - with/ without gluten, Shufersal- Ciemme, Italy, 19 Jan, 2025",New Process,"Ciemme, Italy",Shufersal,,,,No,New - Need to approve,#293,"By Operation Manager on 22 Jan, 2025","By Operation Manager on 22 Jan, 2025"
"Graphics: 000068 - tomatoes
  gnocchi 500gr [Ciemme, Italy][Shufersal]",1,"000068 - tomatoes
  gnocchi 500gr [Ciemme, Italy][Shufersal]",,"Potato Gnocchi - with/ without gluten, Shufersal- Ciemme, Italy, 19 Jan, 2025",New Process,"Ciemme, Italy",Shufersal,,,,No,New - Need to approve,#294,"By Operation Manager on 22 Jan, 2025","By Operation Manager on 22 Jan, 2025"
"Graphics: 000100 - double cookey gluten free / Green Sandwich Cookie [Coppenrath Feingebäck GmbH, Germany][Shufersal]",1,"000100 - double cookey gluten free / Green Sandwich Cookie [Coppenrath Feingebäck GmbH, Germany][Shufersal]",,"double cookey gluten free, Shufersal- Coppenrath Feingebäck GmbH, Germany, 19 Jan, 2025",New Process,"Coppenrath Feingebäck GmbH, Germany",Shufersal,,,,No,New - Need to approve,#295,"By Operation Manager on 22 Jan, 2025","By Operation Manager on 22 Jan, 2025"
"Graphics: 000142 - Wafers 250g Hazelnut [Crich, Italy][Shufersal]",0,"000142 - Wafers 250g Hazelnut [Crich, Italy][Shufersal]",,", 19 Jan, 2025",New Process,"Crich, Italy",,,,,No,New - Need to approve,#317,"By Operation Manager on 23 Jan, 2025","By Operation Manager on 23 Jan, 2025"
"Graphics: 000332 - Salted crackers  250 gr  [Crich, Italy][Shufersal]",0,"000332 - Salted crackers  250 gr  [Crich, Italy][Shufersal]",K492_Crackers_Salt_8Pac_250g_000000.pdf,", 23 Jan, 2025",Approved,"Crich, Italy",Shufersal,,,12/5/2023,Yes,Approved	,#342,"By Operation Manager on 23 Jan, 2025","By Operation Manager on 23 Jan, 2025"
"Graphics: 000093 - CORNFLAKES SHUFERSAL 750 GR. [Crispy food, Denmark][Shufersal]",1,"000093 - CORNFLAKES SHUFERSAL 750 GR. [Crispy food, Denmark][Shufersal]",,"CORNFLAKES SHUFERSAL 750 GR., Shufersal- Crispy food, Denmark, 19 Jan, 2025",New Process,"Crispy food, Denmark",Shufersal,,,,No,New - Need to approve,#297,"By Operation Manager on 23 Jan, 2025","By Operation Manager on 23 Jan, 2025"
"Graphics: 000086 - Dutch Caramel Wafers [Daelmans, Netherlands][Shufersal]",1,"000086 - Dutch Caramel Wafers [Daelmans, Netherlands][Shufersal]",,"Dutch Butter Cookies, Shufersal- Daelmans, Netherlands, 22 Jan, 2025",New Process,"Daelmans, Netherlands",Shufersal,,,,No,New - Need to approve,#298,"By Operation Manager on 23 Jan, 2025","By Operation Manager on 23 Jan, 2025"
"Graphics: 000085 - Dutch Butter Cookies [Daelmans, Netherlands][Shufersal]",1,"000085 - Dutch Butter Cookies [Daelmans, Netherlands][Shufersal]",,"Dutch Butter Cookies, Shufersal- Daelmans, Netherlands, 22 Jan, 2025",New Process,"Daelmans, Netherlands",Shufersal,,,,No,New - Need to approve,#299,"By Operation Manager on 23 Jan, 2025","By Operation Manager on 23 Jan, 2025"
"Graphics: 000078 - sfogliette pizza 180 gr [EuroSnacks/ FornoDamiani, Italy][Shufersal]",1,"000078 - sfogliette pizza 180 gr [EuroSnacks/ FornoDamiani, Italy][Shufersal]",,", 19 Jan, 2025",New Process,"EuroSnacks/ FornoDamiani, Italy",,,,,No,New - Need to approve,#300,"By Operation Manager on 23 Jan, 2025","By Operation Manager on 23 Jan, 2025"
"Graphics: 000088 - SFOGLIETTE ROSEMARY [EuroSnacks/ FornoDamiani, Italy][Shufersal]",1,"000088 - SFOGLIETTE ROSEMARY [EuroSnacks/ FornoDamiani, Italy][Shufersal]",,", 19 Jan, 2025",New Process,"EuroSnacks/ FornoDamiani, Italy",,,,,No,New - Need to approve,#301,"By Operation Manager on 23 Jan, 2025","By Operation Manager on 23 Jan, 2025"
"Graphics: 000079 - sfogliette
  with olives 180 gr [EuroSnacks/ FornoDamiani, Italy][Shufersal]",1,"000079 - sfogliette
  with olives 180 gr [EuroSnacks/ FornoDamiani, Italy][Shufersal]",,", 19 Jan, 2025",New Process,"EuroSnacks/ FornoDamiani, Italy",,,,,No,New - Need to approve,#302,"By Operation Manager on 23 Jan, 2025","By Operation Manager on 23 Jan, 2025"
"Graphics: 000234 - Organic frozen vegetable mix, Harduf 800 grams [GreenYard, Belgium][Harduf - All Organics]",1,"000234 - Organic frozen vegetable mix, Harduf 800 grams [GreenYard, Belgium][Harduf - All Organics]",,"Organic frozen vegetables , Harduf - All Organics- GreenYard, Belgium, 19 Jan, 2025",New Process,"GreenYard, Belgium",Harduf - All Organics,,,,No,New - Need to approve,#303,"By Operation Manager on 23 Jan, 2025","By Operation Manager on 23 Jan, 2025"
"Graphics: 000231 - Organic frozen corn kernels 800 g Harduf [GreenYard, Belgium][Harduf - All Organics]",1,"000231 - Organic frozen corn kernels 800 g Harduf [GreenYard, Belgium][Harduf - All Organics]",,"Organic frozen vegetables , Harduf - All Organics- GreenYard, Belgium, 19 Jan, 2025",New Process,"GreenYard, Belgium",Harduf - All Organics,,,,No,New - Need to approve,#304,"By Operation Manager on 23 Jan, 2025","By Operation Manager on 23 Jan, 2025"
"Graphics: 000233 - Organic frozen whole beans, Harduf 800 grams [GreenYard, Belgium][Harduf - All Organics]",1,"000233 - Organic frozen whole beans, Harduf 800 grams [GreenYard, Belgium][Harduf - All Organics]",,"Organic frozen vegetables , Harduf - All Organics- GreenYard, Belgium, 19 Jan, 2025",New Process,"GreenYard, Belgium",Harduf - All Organics,,,,No,New - Need to approve,#305,"By Operation Manager on 23 Jan, 2025","By Operation Manager on 23 Jan, 2025"
"Graphics: 000232 - Organic Frozen Fine Peas Harduf 800 grams [GreenYard, Belgium][Harduf - All Organics]",1,"000232 - Organic Frozen Fine Peas Harduf 800 grams [GreenYard, Belgium][Harduf - All Organics]",,"Organic frozen vegetables , Harduf - All Organics- GreenYard, Belgium, 19 Jan, 2025",New Process,"GreenYard, Belgium",Harduf - All Organics,,,,No,New - Need to approve,#306,"By Operation Manager on 23 Jan, 2025","By Operation Manager on 23 Jan, 2025"
"Graphics: 000326 - wafers gluten free 21.5g*3 [Helwa, Netherlands][Shufersal]",1,"000326 - wafers gluten free 21.5g*3 [Helwa, Netherlands][Shufersal]",,"No-added sugar Chocolate-covered wafers, Shufersal- Helwa, Netherlands, 19 Jan, 2025",New Process,"Helwa, Netherlands",Shufersal,,,,No,New - Need to approve,#309,"By Operation Manager on 23 Jan, 2025","By Operation Manager on 23 Jan, 2025"
"Graphics: 000104 - wafers no added sugar 21.5g*3 [Helwa, Netherlands][Shufersal]",1,"000104 - wafers no added sugar 21.5g*3 [Helwa, Netherlands][Shufersal]",,"No-added sugar Chocolate-covered wafers, Shufersal- Helwa, Netherlands, 19 Jan, 2025",New Process,"Helwa, Netherlands",Shufersal,,,,No,New - Need to approve,#310,"By Operation Manager on 23 Jan, 2025","By Operation Manager on 23 Jan, 2025"
"Graphics: 000105 - No added sugar, 150 gr. Chocolate wafer [Helwa, Netherlands][Shufersal]",1,"000105 - No added sugar, 150 gr. Chocolate wafer [Helwa, Netherlands][Shufersal]",,"No-added sugar Chocolate-covered wafers, Shufersal- Helwa, Netherlands, 19 Jan, 2025",New Process,"Helwa, Netherlands",Shufersal,,,,No,New - Need to approve,#311,"By Operation Manager on 23 Jan, 2025","By Operation Manager on 23 Jan, 2025"
"Graphics: 000089 - Dark Chocolate 72% Sugar-Free [Icam, Italy][Shufersal]",0,"000089 - Dark Chocolate 72% Sugar-Free [Icam, Italy][Shufersal]",K202c_SF_DarkChocolate_100gr_295662.pdf,"Chocolate Tablets, 100Gr. Sugar-Free, Shufersal- Icam, Italy, 19 Jan, 2025",Approved,"Icam, Italy",Shufersal,,,30/11/2023,Yes,Approved	,#312,"By Operation Manager on 23 Jan, 2025","By Operation Manager on 23 Jan, 2025"
"Graphics: 000091 - Milk Chocolate 32% Sugar-Free [Icam, Italy][Shufersal]",0,"000091 - Milk Chocolate 32% Sugar-Free [Icam, Italy][Shufersal]",K202b_SF_MilkChocolate_100gr_295655.pdf,"Chocolate Tablets, 100Gr. Sugar-Free, Shufersal- Icam, Italy, 19 Jan, 2025",Approved,"Icam, Italy",Shufersal,,,30/11/2023,Yes,Approved	,#313,"By Operation Manager on 23 Jan, 2025","By Operation Manager on 23 Jan, 2025"
"Graphics: 000090 - Milk Chocolate 32% Sugar-Free with Hazelnuts [Icam, Italy][Shufersal]",0,"000090 - Milk Chocolate 32% Sugar-Free with Hazelnuts [Icam, Italy][Shufersal]",K202a_SF_MilkChocolate+Nuts_100gr_295679.pdf,"Chocolate Tablets, 100Gr. Sugar-Free, Shufersal- Icam, Italy, 19 Jan, 2025",Approved,"Icam, Italy",Shufersal,,,30/11/2023,Yes,Approved	,#314,"By Operation Manager on 23 Jan, 2025","By Operation Manager on 23 Jan, 2025"
"Graphics: 000275 - 5L Sunflower oil [Kadoogu Yag san ve Tic As, Turkey][Shufersal]",0,"000275 - 5L Sunflower oil [Kadoogu Yag san ve Tic As, Turkey][Shufersal]",,", 19 Jan, 2025",New Process,"Kadoogu Yag san ve Tic As, Turkey",Shufersal,,,,No,New - Need to approve,#318,"By Operation Manager on 23 Jan, 2025","By Operation Manager on 23 Jan, 2025"
"Graphics: 000297 - chickpeas ,No Uniqe nutritional attributes,380 [La Doria, Italy][Shufersal]",0,"000297 - chickpeas ,No Uniqe nutritional attributes,380 [La Doria, Italy][Shufersal]","K417b_Puleses_Chickpeas_380ml_497189.pdf, 5_APP.pdf","Legumes in Conerves, Shufersal- La Doria, Italy, 19 Jan, 2025",Approved,"La Doria, Italy",Shufersal,120*72,,18/7/2023,Yes,Approved	,#215,"By SmartSuite Automation on 4 Nov, 2024","By Operation Manager on 22 Jan, 2025"
"Graphics: 000042 - Finely Chopped Tomatoes 3x400 [La Doria, Italy][Shufersal]",0,"000042 - Finely Chopped Tomatoes 3x400 [La Doria, Italy][Shufersal]",Shufersal Polpa Fine 3x400g cluster in cartoncino - Tonygraf _48C10824AU5__1.pdf,"Finely Chopped Tomatoes 3x400, Shufersal- La Doria, Italy, 19 Jan, 2025",Approved,"La Doria, Italy",Shufersal,,,1/1/2025,Yes,New - Need to approve,#279,"By Operation Manager on 22 Jan, 2025","By Operation Manager on 22 Jan, 2025"
"Graphics: 000106 - TOMATO PASTA SAUCE WITH BASILICO 350 G [La Doria, Italy][Shufersal]",0,"000106 - TOMATO PASTA SAUCE WITH BASILICO 350 G [La Doria, Italy][Shufersal]",Supersol Green (K) Sugo Bio Basilico 350g etichetta v6 - GAM (49B1F100AY9V00).pdf,"Tomato based Paste sauces, 350 gr, Shufersal- La Doria, Italy, 20 Jan, 2025",Approved,"La Doria, Italy",Shufersal,,,28/11/2023,Yes,Approved	,#280,"By Operation Manager on 22 Jan, 2025","By Operation Manager on 22 Jan, 2025"
"Graphics: 000107 - TOMATO PASTA SAUCE GARLIC 350 GR. [La Doria, Italy][Shufersal]",0,"000107 - TOMATO PASTA SAUCE GARLIC 350 GR. [La Doria, Italy][Shufersal]",Supersol Green (K) Sugo Bio Origano 350g etichetta v6 - GAM (49NAF100AY9V00).pdf,"Tomato based Paste sauces, 350 gr, Shufersal- La Doria, Italy, 20 Jan, 2025",Approved,"La Doria, Italy",Shufersal,,,28/11/2023,Yes,Approved	,#281,"By Operation Manager on 22 Jan, 2025","By Operation Manager on 22 Jan, 2025"
"Graphics: 000098 - Neapolitan sauce 350 gr [La Doria, Italy][Shufersal]",1,"000098 - Neapolitan sauce 350 gr [La Doria, Italy][Shufersal]",,"Tomato based Paste sauces, 350 gr, Shufersal- La Doria, Italy, 20 Jan, 2025",New Process,"La Doria, Italy",Shufersal,,,28/11/2023,Yes,Approved	,#282,"By Operation Manager on 22 Jan, 2025","By Success Management on 23 Jan, 2025"
"Graphics: 000307 - Cannellini beans,No Uniqe nutritional attributes,380 [La Doria, Italy][Shufersal]",0,"000307 - Cannellini beans,No Uniqe nutritional attributes,380 [La Doria, Italy][Shufersal]","K417a_Puleses_CannelliniBeans_380ml_497219.pdf, 1_APP.pdf","Legumes in Conerves, Shufersal- La Doria, Italy, 19 Jan, 2025",Approved,"La Doria, Italy",Shufersal,,,16/7/2023,Yes,Approved	,#283,"By Operation Manager on 22 Jan, 2025","By Operation Manager on 22 Jan, 2025"
"Graphics: 000310 - Red kidney beans ,No Uniqe nutritional attributes,380 [La Doria, Italy][Shufersal]",0,"000310 - Red kidney beans ,No Uniqe nutritional attributes,380 [La Doria, Italy][Shufersal]","K417d_Puleses_RedKidneyBeans_380ml_497196.pdf, 4_APP.pdf","Legumes in Conerves, Shufersal- La Doria, Italy, 19 Jan, 2025",Approved,"La Doria, Italy",Shufersal,,,16/7/2023,Yes,Approved	,#284,"By Operation Manager on 22 Jan, 2025","By Operation Manager on 22 Jan, 2025"
"Graphics: 000340 - blake beans in brine 380 gr [La Doria, Italy][Shufersal]",0,"000340 - blake beans in brine 380 gr [La Doria, Italy][Shufersal]","K417c_Puleses_BlackBeans_380ml_497226.pdf, 3_APP.pdf","Legumes in Conerves, Shufersal- La Doria, Italy, 19 Jan, 2025",Approved,"La Doria, Italy",Shufersal,,,16/7/2023,Yes,Approved	,#285,"By Operation Manager on 22 Jan, 2025","By Operation Manager on 22 Jan, 2025"
"Graphics: 000227 - Sfornatini 140g [La Mole, Italy][Shufersal]",1,"000227 - Sfornatini 140g [La Mole, Italy][Shufersal]",tracciato box Sfornatini (1).pdf,"Pita Chips & Grissini, Shufersal- La Mole, Italy, 19 Jan, 2025",Process Pending,"La Mole, Italy",Shufersal,,,12/5/2023,Yes,Approved	,#315,"By Success Management on 23 Jan, 2025","By Success Management on 23 Jan, 2025"
