ComplianceProcessID,Product Name,Product Specification Sheet,Status,Adaptation Process,Buyer's EAN Code,Supplier,Complience Progress,Date of Specification,Specification Versioning,Ministry of Health Application Status,Supplier Compliance Status,Health permit.s approval1 ?,Auto Number,First Created,Last Updated,Open Comments
"Compliance: 000076 - Gluten-free gnocchi, 500 gr (KOSHER FOR PASSOVER) [Ciemme, Italy][Shufersal]","000076 - Gluten-free gnocchi, 500 gr (KOSHER FOR PASSOVER) [Ciemme, Italy][Shufersal]",CoAs Green 24.07.2023.pdf,Approved,"Potato Gnocchi - with/ without gluten, Shufersal- Ciemme, Italy, 19 Jan, 2025",7296073205111,"Ciemme, Italy",,24/7/2023,,Not Submitted,New,Yes,#228,"By Operation Manager on 19 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000101 - Potato gnocchi 500gr [Ciemme, Italy][Shufersal]","000101 - Potato gnocchi 500gr [Ciemme, Italy][Shufersal]",CoAs Shufersal + Green 11.09.2023.pdf,Approved,"Potato Gnocchi - with/ without gluten, Shufersal- Ciemme, Italy, 19 Jan, 2025",7296073291916,"Ciemme, Italy",,11/9/2023,,Not Submitted,New,Yes,#229,"By Operation Manager on 19 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000099 - gnocchi tri-color gluten-free 400(KOSHER FOR PASSOVER) [Ciemme, Italy][Shufersal]","000099 - gnocchi tri-color gluten-free 400(KOSHER FOR PASSOVER) [Ciemme, Italy][Shufersal]",Ingredients statement for Green 31.07.2024.pdf,Approved,"Potato Gnocchi - with/ without gluten, Shufersal- Ciemme, Italy, 19 Jan, 2025",7296073298588,"Ciemme, Italy",,31/7/2024,,Not Submitted,New,Yes,#251,"By Operation Manager on 19 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000101 - Potato gnocchi 500gr [Ciemme, Italy][Shufersal]","000101 - Potato gnocchi 500gr [Ciemme, Italy][Shufersal]",CoAs Shufersal + Green 11.09.2023 (1).pdf,Approved,"Potato Gnocchi - with/ without gluten, Shufersal- Ciemme, Italy, 19 Jan, 2025",7296073291916,"Ciemme, Italy",,11/9/2023,,Not Submitted,New,Yes,#252,"By Operation Manager on 19 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000068 - tomatoes
  gnocchi 500gr [Ciemme, Italy][Shufersal]","000068 - tomatoes
  gnocchi 500gr [Ciemme, Italy][Shufersal]",CoAs Shufersal 11.08.2023.pdf,Approved,"Potato Gnocchi - with/ without gluten, Shufersal- Ciemme, Italy, 19 Jan, 2025",7296073291930,"Ciemme, Italy",,11/8/2023,,Not Submitted,New,Yes,#253,"By Operation Manager on 19 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000069 - spinach
  gnocchi 500gr [Ciemme, Italy][Shufersal]","000069 - spinach
  gnocchi 500gr [Ciemme, Italy][Shufersal]",CoAs Shufersal 03.07.2023.pdf,Approved,"Potato Gnocchi - with/ without gluten, Shufersal- Ciemme, Italy, 19 Jan, 2025",7296073291947,"Ciemme, Italy",,3/7/2023,,Not Submitted,New,Yes,#254,"By Operation Manager on 19 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000100 - double cookey gluten free / Green Sandwich Cookie [Coppenrath Feingebäck GmbH, Germany][Shufersal]","000100 - double cookey gluten free / Green Sandwich Cookie [Coppenrath Feingebäck GmbH, Germany][Shufersal]","S30C-0i24070405320.pdf, 57795_Spez05_Shufersal_GREEN COOKIES_Zusatzwünsche_KOU_Lieferungsbezogen_03.07.2024.pdf",Approved,"double cookey gluten free, Shufersal- Coppenrath Feingebäck GmbH, Germany, 19 Jan, 2025",7296073243342,"Coppenrath Feingebäck GmbH, Germany",,17/6/2024,,Not Submitted,New,Yes,#230,"By Operation Manager on 19 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000143 - Wafers 250g cocoa
 [Crich, Italy][Shufersal]","000143 - Wafers 250g cocoa
 [Crich, Italy][Shufersal]",STP - WAFERS CACAO BAG ICA 250g_UK.pdf,Approved,", 19 Jan, 2025",,"Crich, Italy",,5/10/2023,,Not Submitted,New,Yes,#233,"By Operation Manager on 19 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000142 - Wafers 250g Hazelnut [Crich, Italy][Shufersal]","000142 - Wafers 250g Hazelnut [Crich, Italy][Shufersal]",STP - WAFERS NOCCIOLA BAG ICA 250g_UK.pdf,Approved,", 19 Jan, 2025",,"Crich, Italy",,5/10/2023,,Not Submitted,New,Yes,#234,"By Operation Manager on 19 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000333 - Crackers extra virgin olive oil & rosemary 250 gr [Crich, Italy][Shufersal]","000333 - Crackers extra virgin olive oil & rosemary 250 gr [Crich, Italy][Shufersal]",STP_CRACKERS G 250_UK.pdf,Approved,", 19 Jan, 2025, , 23 Jan, 2025",,"Crich, Italy | Crich, Italy",,26/7/2023,,Not Submitted,New,Yes,#232,"By Operation Manager on 19 Jan, 2025","By Success Management on 23 Jan, 2025",0
